,symbol,asv1,asv2,asv3,date1,date2,date3,quarter,year_end,qtr,eps_est,eps,release_time,result,slope1,slope2,slope3
32,ABT,5.75,4.25,5.6,2019-01-01,2019-02-01,2019-03-01,Q1,2019,03/2019,0.613,0.63,pre,1,1.3317021895789977e-06,2.175291922515608e-06,7.116592141610007e-07
33,ABT,5.75,6.0,5.6,2019-04-01,2019-05-01,2019-06-01,Q2,2019,06/2019,0.802,0.82,pre,1,-9.168377532853779e-07,-9.396458841144452e-07,3.1394561557605022e-06
34,ABT,4.6,2.0,2.0,2016-07-01,2016-08-01,2016-09-01,Q3,2016,09/2016,0.58,0.59,pre,1,1.755966971383531e-06,-1.051757968387069e-06,1.0545794636197383e-07
35,ABT,2.6,3.0,3.25,2016-10-01,2016-11-01,2016-12-01,Q4,2016,12/2016,0.64,0.65,pre,1,-1.444593501694235e-06,-2.526493970307596e-07,-2.3473319676129585e-09
36,ABBV,17.8,17.0,14.75,2017-01-01,2017-02-01,2017-03-01,Q1,2017,03/2017,1.26,1.28,pre,1,-1.3064627998015362e-06,6.985461964275521e-07,9.656645426875456e-07
37,ABBV,12.6,9.75,13.5,2017-04-01,2017-05-01,2017-06-01,Q2,2017,06/2017,1.4,1.42,pre,1,2.6066995507386228e-08,-3.3411212537376853e-07,2.4742550479630657e-06
38,ABBV,15.4,9.5,27.5,2017-07-01,2017-08-01,2017-09-01,Q3,2017,09/2017,1.39,1.41,pre,1,-1.6385383456854928e-07,1.130684570385276e-06,4.010604840315454e-06
39,ABBV,27.0,21.0,22.6,2017-10-01,2017-11-01,2017-12-01,Q4,2017,12/2017,1.44,1.48,pre,1,7.736949844726681e-07,1.163486819741663e-06,1.2710133488423623e-06
40,ABBV,40.75,35.25,34.5,2018-01-01,2018-02-01,2018-03-01,Q1,2018,03/2018,1.8,1.87,pre,1,7.075220149779917e-06,3.258044774989084e-06,-1.0272378288976494e-05
41,ABBV,33.8,23.75,23.5,2018-04-01,2018-05-01,2018-06-01,Q2,2018,06/2018,1.98,2.0,pre,1,1.934165397466322e-06,7.310471960184998e-07,-3.446753356001838e-06
42,ABBV,26.4,22.75,24.2,2018-07-01,2018-08-01,2018-09-01,Q3,2018,09/2018,2.01,2.14,pre,1,-2.0078470590990916e-06,1.0182721533214108e-06,-4.3325561932089737e-07
43,ABBV,25.25,18.25,19.4,2018-10-01,2018-11-01,2018-12-01,Q4,2018,12/2018,1.92,1.9,pre,-1,-6.809025029075164e-06,2.8167824859890666e-06,-5.576543537174483e-07
44,ABBV,31.0,27.5,26.0,2019-01-01,2019-02-01,2019-03-01,Q1,2019,03/2019,2.054,2.14,pre,1,-4.032714836794045e-06,1.2992855708690262e-07,8.195127351667763e-07
45,ABBV,31.5,19.0,43.0,2019-04-01,2019-05-01,2019-06-01,Q2,2019,06/2019,2.211,2.26,pre,1,-1.884776378212054e-06,1.6420641519995868e-07,-2.778601229688186e-06
46,ABBV,7.4,7.0,6.5,2016-07-01,2016-08-01,2016-09-01,Q3,2016,09/2016,1.21,1.21,pre,0,7.873726169534643e-07,-8.981283982108592e-07,-1.3743052667709782e-07
47,ABBV,10.8,13.25,13.5,2016-10-01,2016-11-01,2016-12-01,Q4,2016,12/2016,1.2,1.2,pre,0,-1.8635292329307314e-06,1.286450374579383e-06,1.050253227327415e-06
48,ABMD,4.4,1.75,8.75,2017-01-01,2017-02-01,2017-03-01,Q1,2017,03/2017,0.33,0.33,pre,0,-2.990372869348337e-06,6.162704017576898e-06,2.2223719840863835e-06
49,ABMD,5.8,0.0,2.0,2017-04-01,2017-05-01,2017-06-01,Q2,2017,06/2017,0.42,0.45,pre,1,2.3183946243033357e-06,2.574417057472693e-06,6.30791747999148e-07
50,ABMD,9.4,4.0,5.75,2017-07-01,2017-08-01,2017-09-01,Q3,2017,09/2017,0.37,0.44,pre,1,2.4352057951857822e-06,-5.10412009091585e-07,5.4136636126319485e-06
51,ABMD,10.2,10.75,7.2,2017-10-01,2017-11-01,2017-12-01,Q4,2017,12/2017,0.5,0.7,pre,1,4.478930510695035e-06,1.7400893846859081e-06,-1.2912650936080918e-07
52,ABMD,24.0,33.5,46.75,2018-04-01,2018-05-01,2018-06-01,Q2,2018,06/2018,0.8,0.78,pre,-1,7.835109475908804e-06,2.7613134111748794e-05,7.61284998937414e-06
53,ABMD,31.2,39.75,54.4,2018-07-01,2018-08-01,2018-09-01,Q3,2018,09/2018,0.73,0.81,pre,1,-1.1074544342722532e-05,8.643163019647315e-06,2.4275327904422833e-05
54,ABMD,46.5,52.25,24.0,2018-10-01,2018-11-01,2018-12-01,Q4,2018,12/2018,0.94,0.97,pre,1,-3.8960833634672584e-05,-3.6894581996305644e-05,-1.2531991801941423e-05
55,ABMD,23.25,33.0,33.6,2019-01-01,2019-02-01,2019-03-01,Q1,2019,03/2019,1.08,1.09,pre,1,1.3492671300620908e-05,9.643032667751578e-07,-1.7392449170504927e-05
56,ABMD,48.0,20.25,25.6,2019-04-01,2019-05-01,2019-06-01,Q2,2019,06/2019,0.969,1.93,pre,1,-6.523272282424123e-06,-1.310288558998481e-06,-5.977528912311521e-06
57,ABMD,6.8,11.0,6.25,2016-07-01,2016-08-01,2016-09-01,Q3,2016,09/2016,0.24,0.2,pre,-1,1.934967959413196e-06,-7.515131098862072e-07,5.426767939299125e-06
58,ABMD,11.2,4.0,4.0,2016-10-01,2016-11-01,2016-12-01,Q4,2016,12/2016,0.29,0.34,pre,1,-8.820573442425535e-06,3.929448376926322e-06,2.7915975677169554e-07
59,ACN,29.0,24.0,22.75,2017-03-01,2017-04-01,2017-05-01,Q2,2017,05/2017,1.5,1.52,pre,1,-1.5256158728913241e-06,1.3661749494388078e-06,1.1087387798956038e-06
60,ACN,30.25,21.4,20.75,2017-06-01,2017-07-01,2017-08-01,Q3,2017,08/2017,1.47,1.48,pre,1,-1.4602219732402768e-06,2.72348601360329e-06,7.510339816677026e-09
61,ACN,29.0,24.2,23.75,2017-09-01,2017-10-01,2017-11-01,Q4,2017,11/2017,1.66,1.79,pre,1,2.5994655439244034e-06,3.0326165133385286e-06,2.0665483358486585e-06
62,ACN,30.5,28.0,20.25,2018-03-01,2018-04-01,2018-05-01,Q2,2018,05/2018,1.71,1.79,pre,1,-3.5552966168094875e-06,1.6523033034628498e-06,1.4329645113647216e-06
63,ACN,24.25,24.2,24.25,2018-06-01,2018-07-01,2018-08-01,Q3,2018,08/2018,1.55,1.58,pre,1,-4.464098602108628e-07,-1.054036837385478e-06,3.7696394801653586e-06
64,ACN,27.6,36.25,34.25,2018-09-01,2018-10-01,2018-11-01,Q4,2018,11/2018,1.84,1.96,pre,1,1.6015562729156698e-06,-7.745831236175043e-06,3.579735807496351e-08
65,ACN,36.0,40.75,40.5,2019-03-01,2019-04-01,2019-05-01,Q2,2019,05/2019,1.892,1.93,pre,1,3.7177339643386903e-06,1.972557963631873e-06,9.541470901800087e-07
66,ACN,23.0,12.4,12.5,2016-06-01,2016-07-01,2016-08-01,Q3,2016,08/2016,1.3,1.31,pre,1,-3.051055110373461e-06,-5.74764287293484e-07,7.534626526649798e-07
67,ACN,20.5,14.4,16.75,2016-09-01,2016-10-01,2016-11-01,Q4,2016,11/2016,1.49,1.58,pre,1,1.6562209152656495e-06,-1.4793526192753157e-06,1.130206564075061e-06
68,ATVI,6.6,17.0,10.25,2017-01-01,2017-02-01,2017-03-01,Q1,2017,03/2017,0.22,0.31,post,1,9.68475271642544e-07,2.8207570050790396e-06,9.25747556906357e-07
69,ATVI,10.6,17.0,19.75,2017-04-01,2017-05-01,2017-06-01,Q2,2017,06/2017,0.3,0.55,post,1,1.1987296018402723e-06,2.4309638691253353e-06,-2.4922509232270055e-07
70,ATVI,19.8,18.0,16.25,2017-07-01,2017-08-01,2017-09-01,Q3,2017,09/2017,0.5,0.6,post,1,2.2610686094796318e-06,1.0136629964975043e-06,-1.0726412937352471e-06
71,ATVI,18.2,21.0,12.8,2017-10-01,2017-11-01,2017-12-01,Q4,2017,12/2017,0.94,0.94,post,0,4.622943102762421e-07,3.7681860403351744e-07,1.534467365100466e-06
72,ATVI,19.25,21.0,14.0,2018-01-01,2018-02-01,2018-03-01,Q1,2018,03/2018,0.35,0.38,post,1,3.3076827677555165e-06,1.2850322006313893e-06,-3.6277466272292353e-06
73,ATVI,14.4,11.75,11.5,2018-04-01,2018-05-01,2018-06-01,Q2,2018,06/2018,0.36,0.41,post,1,2.276259164807144e-07,9.557086091137629e-07,9.919022066376218e-07
74,ATVI,18.2,18.5,19.2,2018-07-01,2018-08-01,2018-09-01,Q3,2018,09/2018,0.51,0.52,post,1,-4.832801579812647e-07,8.055225711242068e-07,4.685850514550897e-06
75,ATVI,16.25,34.75,17.6,2019-01-01,2019-02-01,2019-03-01,Q1,2019,03/2019,0.248,0.31,post,1,-6.2715849263187e-07,-1.696731726467143e-06,2.3317095368560686e-06
76,ATVI,22.0,16.5,12.8,2019-04-01,2019-05-01,2019-06-01,Q2,2019,06/2019,0.259,0.38,post,1,-1.7214787029318875e-08,-2.244961064417398e-06,1.4179384423949638e-06
77,ATVI,10.4,7.75,8.25,2016-07-01,2016-08-01,2016-09-01,Q3,2016,09/2016,0.43,0.49,post,1,2.056392531347118e-07,2.5281955805748484e-07,7.211879608177065e-07
78,ATVI,5.0,14.25,7.75,2016-10-01,2016-11-01,2016-12-01,Q4,2016,12/2016,0.76,0.92,post,1,7.886751909703729e-08,-2.313901456473392e-06,-1.6106152245309977e-08
79,ADBE,17.5,7.8,9.0,2017-03-01,2017-04-01,2017-05-01,Q2,2017,05/2017,0.94,1.02,post,1,4.451542637449635e-06,1.766264492921434e-06,3.1170158540815368e-06
80,ADBE,22.0,12.8,3.75,2017-06-01,2017-07-01,2017-08-01,Q3,2017,08/2017,1.0,1.1,post,1,5.644097328598796e-07,3.692207999589878e-06,2.5490326216558573e-06
81,ADBE,21.0,22.4,14.0,2017-09-01,2017-10-01,2017-11-01,Q4,2017,11/2017,1.15,1.26,post,1,-4.508001220789953e-06,1.3229715873668897e-05,9.805808620237506e-07
82,ADBE,33.25,19.8,25.0,2018-03-01,2018-04-01,2018-05-01,Q2,2018,05/2018,1.54,1.66,post,1,3.6826731331304496e-06,1.3807755994757889e-06,7.917068655584136e-06
83,ADBE,36.25,26.0,24.25,2018-06-01,2018-07-01,2018-08-01,Q3,2018,08/2018,1.69,1.73,post,1,-5.376594617409885e-06,3.911291829232114e-06,5.144087499959278e-06
84,ADBE,30.8,38.25,29.75,2018-09-01,2018-10-01,2018-11-01,Q4,2018,11/2018,1.88,1.83,post,-1,2.8985001859822503e-06,-9.514534834002799e-06,-2.675175066620547e-06
85,ADBE,27.8,16.25,23.25,2019-06-01,2019-07-01,2019-08-01,Q3,2019,08/2019,1.972,2.05,post,1,1.3530870297174653e-05,1.2693413395563154e-06,-2.811140507514681e-06
86,ADBE,11.5,2.4,2.75,2016-06-01,2016-07-01,2016-08-01,Q3,2016,08/2016,0.72,0.75,post,1,-2.5687595027407283e-06,1.2278920637667063e-06,1.9365322530728457e-06
87,ADBE,8.5,3.6,4.0,2016-09-01,2016-10-01,2016-11-01,Q4,2016,11/2016,0.86,0.9,post,1,3.244824980032609e-06,-1.3081249483465032e-07,-1.201992670257569e-06
88,AAP,7.4,10.25,4.0,2017-01-01,2017-02-01,2017-03-01,Q1,2017,03/2017,2.12,1.6,pre,-1,-2.9699170363577025e-06,-2.13924199623352e-06,-3.172883886995882e-06
89,AAP,8.4,10.0,18.5,2017-04-01,2017-05-01,2017-06-01,Q2,2017,06/2017,1.65,1.58,pre,-1,9.031251447362273e-07,-3.920071708087875e-06,-7.771324671484856e-06
90,AAP,27.8,45.5,8.25,2017-07-01,2017-08-01,2017-09-01,Q3,2017,09/2017,1.2,1.43,pre,1,1.2823144026148046e-06,-8.140567944705268e-06,9.545489187975556e-07
91,AAP,19.2,32.0,24.2,2017-10-01,2017-11-01,2017-12-01,Q4,2017,12/2017,0.65,0.77,pre,1,-6.146480406774255e-06,7.064307931679169e-06,-9.525820686090111e-08
92,AAP,24.75,19.25,14.5,2018-01-01,2018-02-01,2018-03-01,Q1,2018,03/2018,1.98,2.1,pre,1,5.4111330190674765e-06,1.3138351345491505e-07,-1.222573130117143e-06
93,AAP,15.0,15.0,13.75,2018-04-01,2018-05-01,2018-06-01,Q2,2018,06/2018,1.85,1.97,pre,1,-1.265492361184901e-06,4.271126521831546e-06,3.6808949928570604e-06
94,AAP,11.2,24.5,13.6,2018-07-01,2018-08-01,2018-09-01,Q3,2018,09/2018,1.77,1.89,pre,1,2.325344622011641e-06,9.587431445320774e-06,7.077012150840497e-07
95,AAP,14.5,26.25,11.0,2018-10-01,2018-11-01,2018-12-01,Q4,2018,12/2018,1.14,1.17,pre,1,-2.138269209155501e-06,5.253575213836432e-06,-1.0668045661086486e-05
96,AAP,11.5,25.75,12.2,2019-01-01,2019-02-01,2019-03-01,Q1,2019,03/2019,2.359,2.46,pre,1,-1.514385456669373e-06,-6.184108596823736e-08,6.477661273944331e-06
97,AAP,8.75,12.25,11.0,2019-04-01,2019-05-01,2019-06-01,Q2,2019,06/2019,2.206,2.0,pre,-1,-2.8643083726961193e-06,-2.2219963396838627e-06,-6.830991070121494e-07
98,AAP,12.4,10.0,7.0,2016-07-01,2016-08-01,2016-09-01,Q3,2016,09/2016,1.72,1.73,post,1,2.475159361838573e-06,-5.5542142904845216e-06,-5.0195919721182546e-06
99,AAP,8.2,13.25,9.75,2016-10-01,2016-11-01,2016-12-01,Q4,2016,12/2016,1.09,1.0,pre,-1,-3.7893083153283956e-06,1.6785687691851787e-05,-9.221356453028984e-07
100,AMD,22.0,41.25,35.75,2017-01-01,2017-02-01,2017-03-01,Q1,2017,03/2017,-0.05,-0.04,post,1,-5.329055349935768e-07,9.261934314900416e-07,1.4563468601245982e-07
101,AMD,31.8,33.0,44.75,2017-04-01,2017-05-01,2017-06-01,Q2,2017,06/2017,0.0,0.02,post,1,-2.892312383246104e-07,1.081737209151488e-07,8.985445984047649e-07
102,AMD,37.2,29.5,28.0,2017-07-01,2017-08-01,2017-09-01,Q3,2017,09/2017,0.08,0.1,post,1,4.862141611140901e-07,-3.708011960652804e-07,7.489182482694024e-08
103,AMD,30.4,26.0,28.0,2017-10-01,2017-11-01,2017-12-01,Q4,2017,12/2017,0.05,0.08,post,1,-6.186435444136136e-07,-4.561494336775022e-08,2.5378560086934964e-07
104,AMD,35.0,22.75,23.0,2018-01-01,2018-02-01,2018-03-01,Q1,2018,03/2018,0.09,0.11,post,1,6.936767216631915e-07,6.956416664439267e-08,-8.465649945612603e-07
105,AMD,24.6,24.25,35.25,2018-04-01,2018-05-01,2018-06-01,Q2,2018,06/2018,0.12,0.14,post,1,4.591553619287126e-07,1.1129023095923945e-06,2.0317565732771362e-07
106,AMD,32.2,44.75,58.8,2018-07-01,2018-08-01,2018-09-01,Q3,2018,09/2018,0.13,0.13,post,0,1.1587027723682246e-06,2.7299096308024095e-06,2.0151730520573177e-06
107,AMD,48.75,31.75,29.4,2018-10-01,2018-11-01,2018-12-01,Q4,2018,12/2018,0.09,0.08,post,-1,-4.400621980499277e-06,4.809007917998433e-08,-1.9871360572580094e-06
108,AMD,38.5,25.75,30.2,2019-01-01,2019-02-01,2019-03-01,Q1,2019,03/2019,0.051,0.06,post,1,1.1701523079208675e-06,2.793922857237042e-07,1.5700104174014108e-06
109,AMD,31.75,33.5,38.0,2019-04-01,2019-05-01,2019-06-01,Q2,2019,06/2019,0.077,0.08,post,1,-2.6766051269385507e-08,9.78456353832377e-08,-4.1758161323378627e-07
110,AMD,12.4,13.75,11.5,2016-07-01,2016-08-01,2016-09-01,Q3,2016,09/2016,0.0,0.03,post,1,8.911406215455011e-07,5.368407084078538e-07,-1.5610870182247824e-07
111,AMD,11.6,13.25,23.0,2016-10-01,2016-11-01,2016-12-01,Q4,2016,12/2016,-0.02,-0.01,post,1,1.8628282211124099e-07,1.1122891202896686e-06,1.282181819659871e-06
112,AES,18.4,14.0,16.25,2017-01-01,2017-02-01,2017-03-01,Q1,2017,03/2017,0.2,0.17,pre,-1,-1.390776769694919e-07,1.1841579638189814e-07,-8.598259431685484e-08
113,AES,11.8,10.75,8.75,2017-04-01,2017-05-01,2017-06-01,Q2,2017,06/2017,0.21,0.25,pre,1,1.453296512435736e-07,1.7685852586933732e-07,-2.0640396639910843e-07
114,AES,17.8,15.0,12.5,2017-07-01,2017-08-01,2017-09-01,Q3,2017,09/2017,0.29,0.24,pre,-1,1.7621117526190316e-07,2.2356360384529335e-08,-2.2696703043186176e-08
115,AES,19.8,26.25,25.4,2017-10-01,2017-11-01,2017-12-01,Q4,2017,12/2017,0.32,0.43,pre,1,-1.952253092093166e-07,5.89291461361125e-08,-1.4061651025758626e-08
116,AES,19.5,33.0,17.5,2018-01-01,2018-02-01,2018-03-01,Q1,2018,03/2018,0.25,0.28,pre,1,3.666765504285903e-07,-6.9721940086185e-08,6.295765294732133e-08
117,AES,23.8,31.5,12.0,2018-04-01,2018-05-01,2018-06-01,Q2,2018,06/2018,0.28,0.25,pre,-1,3.782217027355695e-07,1.1985797765903638e-07,2.1574930046399622e-07
118,AES,14.2,23.25,19.8,2018-07-01,2018-08-01,2018-09-01,Q3,2018,09/2018,0.29,0.35,pre,1,1.6088541562100535e-07,1.304742957620299e-07,3.5332753245833095e-07
119,AES,21.25,13.25,18.2,2018-10-01,2018-11-01,2018-12-01,Q4,2018,12/2018,0.325,0.36,pre,1,1.0134313826096321e-07,5.379818762649e-08,-7.653390706147864e-07
120,AES,5.75,24.25,33.4,2019-01-01,2019-02-01,2019-03-01,Q1,2019,03/2019,0.298,0.28,pre,-1,7.303037865328374e-07,1.9494434255438404e-07,3.497248654503831e-07
121,AES,9.75,17.25,21.2,2019-04-01,2019-05-01,2019-06-01,Q2,2019,06/2019,0.267,0.26,pre,-1,-3.1688650653988245e-07,-2.405649033562407e-07,1.2374652320304528e-07
122,AES,13.4,17.0,9.0,2016-07-01,2016-08-01,2016-09-01,Q3,2016,09/2016,0.33,0.32,pre,-1,9.685042370612054e-08,-6.648551698413172e-08,3.061013584427413e-07
123,AES,14.4,9.0,9.0,2016-10-01,2016-11-01,2016-12-01,Q4,2016,12/2016,0.36,0.35,pre,-1,1.796803976434202e-08,-1.1775342741903258e-07,1.6570537833707277e-07
124,AFL,13.8,13.25,10.0,2017-01-01,2017-02-01,2017-03-01,Q1,2017,03/2017,0.81,0.84,post,1,1.3606010042009346e-07,1.9412878787878764e-06,-1.1531982816771586e-07
125,AFL,20.4,10.75,8.75,2017-04-01,2017-05-01,2017-06-01,Q2,2017,06/2017,0.82,0.92,post,1,1.142803521529032e-06,8.799598054946885e-08,1.0400497428969603e-06
126,AFL,8.6,7.0,5.25,2017-07-01,2017-08-01,2017-09-01,Q3,2017,09/2017,0.81,0.85,post,1,1.9663499307919503e-07,5.2223060585737216e-08,7.830984788874741e-07
127,AFL,16.4,13.25,5.6,2017-10-01,2017-11-01,2017-12-01,Q4,2017,12/2017,0.78,0.8,post,1,7.986114150441496e-07,1.058830069728588e-06,-1.4740006171960274e-07
128,AFL,35.5,17.5,27.0,2018-01-01,2018-02-01,2018-03-01,Q1,2018,03/2018,0.97,1.05,post,1,-1.9764061382568392e-07,1.574374771692548e-06,-2.6058748781167245e-05
129,AFL,36.2,18.0,12.5,2018-04-01,2018-05-01,2018-06-01,Q2,2018,06/2018,0.98,1.07,post,1,1.0368776490867663e-06,1.709769956974594e-07,-1.0709468234571849e-06
130,AFL,22.2,22.5,26.2,2018-07-01,2018-08-01,2018-09-01,Q3,2018,09/2018,0.99,1.03,post,1,1.2095022430127527e-06,2.6105039532452134e-08,4.0112939936588857e-07
131,AFL,16.0,11.0,11.8,2018-10-01,2018-11-01,2018-12-01,Q4,2018,12/2018,0.94,1.02,post,1,-1.980033017008564e-06,6.160943232258344e-07,1.7486680231908255e-07
132,AFL,13.75,18.5,16.0,2019-01-01,2019-02-01,2019-03-01,Q1,2019,03/2019,1.059,1.12,post,1,1.2187342914649369e-06,4.504233681857274e-07,4.577209384214388e-07
133,AFL,22.25,21.5,32.0,2019-04-01,2019-05-01,2019-06-01,Q2,2019,06/2019,1.071,1.13,post,1,1.3326425550307213e-07,6.380757117507822e-07,7.277942468159871e-07
134,AFL,17.4,14.25,9.5,2016-07-01,2016-08-01,2016-09-01,Q3,2016,09/2016,0.87,0.91,post,1,5.485272590450371e-07,5.658484288008671e-07,-5.988876842445725e-07
135,AFL,8.8,9.25,13.0,2016-10-01,2016-11-01,2016-12-01,Q4,2016,12/2016,0.82,0.77,post,-1,-1.2342456817671988e-06,1.0616280468413475e-06,4.238204402822478e-07
136,A,22.0,19.5,20.2,2016-11-01,2016-12-01,2017-01-01,Q1,2017,01/2017,0.49,0.53,post,1,-6.629131210881443e-08,6.530053978473641e-07,3.5112308436962e-07
137,A,23.75,23.0,23.4,2017-02-01,2017-03-01,2017-04-01,Q2,2017,04/2017,0.48,0.58,post,1,1.1848713119899554e-06,7.748157579995394e-07,1.0544951214240497e-06
138,A,18.75,18.0,17.2,2017-05-01,2017-06-01,2017-07-01,Q3,2017,07/2017,0.52,0.59,post,1,1.513876903857488e-06,-4.612791739245876e-07,3.4198745526417384e-07
